date,daily_num_reviews,daily_avg_rating
2014-11-23,1,5.0
2014-12-06,1,1.0
2014-12-08,1,5.0
2014-12-16,1,5.0
2015-02-17,1,5.0
2015-03-03,1,5.0
2015-03-14,1,5.0
2015-04-23,1,1.0
2015-04-26,1,5.0
2015-05-07,1,4.0
2015-06-23,1,3.0
2015-07-31,1,2.0
2015-10-19,1,4.0
2015-10-29,1,1.0
2015-12-27,1,5.0
2016-01-27,1,1.0
2016-02-18,1,5.0
2016-03-30,1,1.0
2016-05-05,1,4.0
2016-05-19,1,5.0
2016-08-06,1,5.0
2017-01-08,1,1.0
2017-05-22,1,4.0
2017-05-24,1,4.0
2017-05-26,1,5.0
2017-06-04,1,4.0
2017-06-21,2,5.0
2017-06-25,1,4.0
2017-07-07,1,5.0
2017-08-05,1,1.0
2017-08-07,1,5.0
2017-08-09,1,5.0
2017-09-16,1,1.0
2017-11-18,1,4.0
2018-01-05,1,5.0
2018-01-30,1,5.0
2018-02-01,1,4.0
2018-03-06,1,3.0
2018-06-24,1,5.0
2018-06-29,1,5.0
2018-07-19,1,5.0
2018-07-26,1,4.0
2018-10-09,1,2.0
2018-11-28,1,5.0
2018-12-20,1,4.0
2018-12-28,1,5.0
2019-02-08,1,5.0
2019-03-29,1,5.0
2019-03-31,1,4.0
2019-04-18,1,5.0
2019-04-24,1,5.0
2019-08-17,1,5.0
2019-09-22,1,5.0
2019-10-13,1,5.0
2019-10-18,1,5.0
2019-11-24,1,5.0
2019-12-16,1,4.0
2020-01-06,1,3.0
2020-01-11,1,5.0
2020-01-15,1,5.0
2020-01-23,1,5.0
2020-02-10,1,5.0
2020-02-15,1,1.0
2020-04-11,1,5.0
2020-04-30,1,5.0
2020-05-13,1,5.0
2020-06-02,1,5.0
2020-06-06,1,3.0
2020-08-25,1,5.0
2020-08-31,1,2.0
2020-10-02,1,5.0
2020-10-17,1,4.0
2020-11-01,1,5.0
2020-11-23,1,5.0
2020-12-10,1,4.0
2020-12-13,1,5.0
2020-12-28,1,4.0
2021-01-02,1,5.0
2021-01-03,1,4.0
2021-02-12,1,4.0
2021-03-08,1,4.0
2021-04-30,1,4.0
2021-05-18,1,4.0
2021-05-31,1,5.0
2021-07-27,1,5.0
2021-09-18,1,5.0
2021-09-21,1,1.0
2021-12-27,1,3.0
2022-03-06,1,3.0
2022-04-27,1,5.0
2022-05-30,1,1.0
2022-10-11,1,5.0
2022-10-12,1,2.0
2022-10-27,1,1.0
2023-02-17,1,4.0
2023-05-16,1,5.0
2024-03-24,1,1.0
2024-04-24,1,5.0
2024-05-18,1,5.0
2024-08-18,1,5.0
2024-09-15,1,5.0
2024-09-21,1,1.0
2024-10-06,1,3.0
2024-10-25,1,5.0
2024-11-03,1,2.0
2024-11-12,1,5.0
2024-11-20,1,1.0
2024-11-24,2,3.0
2024-12-18,1,5.0
2024-12-26,1,5.0
2024-12-27,1,1.0
2024-12-31,1,5.0
2025-01-21,1,5.0
2025-01-28,1,1.0
2025-02-13,1,1.0
2025-02-23,1,5.0
2025-02-27,1,5.0
2025-02-28,1,5.0
2025-03-01,2,5.0
2025-03-06,1,5.0
2025-03-07,1,5.0
2025-03-09,2,5.0
2025-03-11,1,3.0
2025-03-13,2,5.0
2025-03-14,1,5.0
2025-03-17,1,5.0
2025-03-21,1,5.0
2025-03-22,1,5.0
2025-03-25,1,5.0
2025-03-26,1,2.0
2025-03-27,1,5.0
2025-03-28,1,4.0
2025-03-30,1,5.0
2025-04-04,2,5.0
2025-04-05,1,5.0
2025-04-06,1,3.0
2025-04-07,3,5.0
2025-04-08,4,5.0
2025-04-09,2,5.0
2025-04-10,1,5.0
2025-04-13,2,5.0
2025-04-16,1,1.0
2025-04-18,3,5.0
2025-04-25,1,5.0
2025-04-27,1,3.0
2025-04-29,1,5.0
2025-04-30,1,1.0
2025-05-06,1,5.0
2025-05-07,1,4.0
2025-05-11,2,5.0
2025-05-17,2,5.0
2025-06-01,2,5.0
2025-06-06,2,3.0
2025-06-10,4,3.0
2025-06-12,2,1.0
2025-06-13,3,3.0
2025-06-14,1,1.0
2025-06-16,4,3.75
2025-06-23,1,2.0
2025-07-11,1,5.0
2025-07-13,1,5.0
2025-07-14,1,4.0
2025-07-24,1,5.0
2025-07-28,2,1.5
2025-07-29,3,3.67
2025-08-02,1,5.0
2025-08-03,1,5.0
2025-08-05,1,5.0
2025-08-06,1,5.0
2025-08-08,1,5.0
2025-08-10,2,3.0
2025-08-12,1,1.0
2025-08-13,1,5.0
2025-08-14,2,3.0
2025-08-20,1,1.0
2025-08-24,2,5.0
2025-08-25,1,5.0
2025-08-29,1,5.0
2025-08-31,1,4.0
2025-09-02,1,5.0
2025-09-03,1,5.0
2025-09-06,1,5.0
2025-09-08,1,1.0
2025-09-09,1,2.0
2025-09-11,3,2.0
2025-09-12,3,4.0
2025-09-13,4,2.25
2025-09-14,2,3.0
2025-09-15,2,2.5
2025-09-16,3,2.33
2025-09-17,3,3.67
2025-09-18,6,3.67
2025-09-19,2,5.0
2025-09-20,2,5.0
2025-09-22,1,5.0
2025-09-23,4,4.25
2025-09-24,4,3.75
2025-09-25,2,3.0
2025-09-26,3,3.67
2025-09-27,1,5.0
2025-09-28,2,5.0
2025-09-30,1,1.0
2025-10-01,5,3.8
2025-10-02,3,2.33
2025-10-03,2,4.0
2025-10-04,1,5.0
2025-10-06,2,3.0
2025-10-07,5,1.8
2025-10-08,7,2.43
2025-10-09,2,3.0
2025-10-10,2,5.0
2025-10-11,1,4.0
2025-10-12,1,5.0
2025-10-13,4,3.25
2025-10-14,4,4.0
2025-10-15,2,5.0
2025-10-16,4,3.75
2025-10-17,3,3.67
2025-10-18,2,5.0
2025-10-19,4,4.0
2025-10-20,1,1.0
2025-10-21,1,5.0
2025-10-22,3,3.67
2025-10-23,4,3.75
2025-10-24,3,4.67
2025-10-25,1,5.0
2025-10-26,2,3.0
2025-10-27,3,2.33
2025-10-28,2,3.0
2025-10-29,3,3.67
2025-10-30,3,3.67
2025-10-31,1,5.0
2025-11-02,1,5.0
2025-11-03,2,4.5
2025-11-04,3,3.0
2025-11-05,5,5.0
2025-11-06,2,3.0
2025-11-07,1,4.0
2025-11-08,1,5.0
2025-11-09,2,3.0
2025-11-10,2,5.0
2025-11-11,2,5.0
2025-11-12,2,5.0
2025-11-13,1,4.0
2025-11-14,2,4.0
2025-11-15,3,5.0
2025-11-16,3,2.33
2025-11-17,1,2.0
2025-11-18,1,5.0
2025-11-19,6,2.5
2025-11-20,8,3.5
2025-11-21,5,3.2
2025-11-22,2,1.5
2025-11-23,1,4.0
2025-11-24,6,3.33
2025-11-25,5,4.2
2025-11-26,2,3.0
2025-11-27,3,5.0
2025-11-28,2,3.5
2025-11-29,4,4.75
2025-11-30,7,3.43
2025-12-01,4,1.25
2025-12-02,3,3.33
2025-12-03,3,2.33
2025-12-04,4,4.0
2025-12-05,6,3.5
2025-12-06,3,1.33
2025-12-07,4,2.75
2025-12-08,5,3.4
2025-12-09,4,3.5
2025-12-10,6,3.5
2025-12-11,3,1.0
2025-12-12,6,4.0
2025-12-13,5,2.6
2025-12-14,1,1.0
2025-12-15,5,2.8
2025-12-16,5,3.4
2025-12-17,5,3.8
2025-12-18,3,3.67
2025-12-19,6,4.33
2025-12-20,4,3.0
2025-12-21,1,4.0
2025-12-22,1,1.0
2025-12-23,2,5.0
2025-12-24,3,5.0
2025-12-25,3,2.0
2025-12-26,4,4.75
2025-12-27,5,2.8
2025-12-28,4,2.0
2025-12-29,4,2.5
2025-12-30,1,5.0
2025-12-31,4,3.75
2026-01-01,3,2.33
2026-01-02,5,3.6
2026-01-03,1,5.0
2026-01-04,2,5.0
2026-01-05,9,4.67
2026-01-06,17,4.18
2026-01-07,18,4.56
2026-01-08,13,4.38
2026-01-09,15,3.2
2026-01-10,11,3.91
2026-01-11,16,3.31
2026-01-12,10,3.7
2026-01-13,13,4.77
2026-01-14,10,4.1
2026-01-15,17,4.18
2026-01-16,17,3.18
2026-01-17,6,5.0
2026-01-18,9,3.78
2026-01-19,7,5.0
2026-01-20,13,3.69
2026-01-21,16,3.81
2026-01-22,18,3.89
2026-01-23,12,3.25
2026-01-24,13,3.92
2026-01-25,13,3.77
2026-01-26,15,3.33
2026-01-27,18,3.44
2026-01-28,42,4.1
2026-01-29,51,4.51
2026-01-30,34,4.32
2026-01-31,25,4.4
2026-02-01,26,4.15
2026-02-02,30,4.53
2026-02-03,77,4.29
2026-02-04,71,4.48
2026-02-05,34,4.41
